"status","token","index","library"
"OK","late","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\index.poultry_duck_breeder.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json"
"OK","prebreed","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\index.poultry_duck_breeder.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json"
"OK","postpeak","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\index.poultry_duck_breeder.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json"
"OK","starter","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\index.poultry_duck_breeder.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json"
"OK","grower","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\index.poultry_duck_breeder.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json"
"OK","peak","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\index.poultry_duck_breeder.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json"
"OK","developer","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\index.poultry_duck_breeder.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\breeder\library.poultry_duck_breeder.v1.json"
"OK","late","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\index.poultry_duck_layer.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json"
"OK","early","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\index.poultry_duck_layer.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json"
"OK","starter","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\index.poultry_duck_layer.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json"
"OK","mid","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\index.poultry_duck_layer.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json"
"OK","developer","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\index.poultry_duck_layer.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json"
"OK","grower","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\index.poultry_duck_layer.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json"
"OK","peak","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\index.poultry_duck_layer.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json"
"OK","prelay","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\index.poultry_duck_layer.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\layer\library.poultry_duck_layer.v1.json"
"OK","prestarter","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\index.poultry_duck_meat.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\library.poultry_duck_meat.v1.json"
"OK","grower","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\index.poultry_duck_meat.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\library.poultry_duck_meat.v1.json"
"OK","finisher","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\index.poultry_duck_meat.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\library.poultry_duck_meat.v1.json"
"OK","withdrawal","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\index.poultry_duck_meat.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\library.poultry_duck_meat.v1.json"
"OK","starter","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\index.poultry_duck_meat.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\duck\meat\library.poultry_duck_meat.v1.json"
"MISSING_TOKEN_IN_LIBRARY","late","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\index.poultry_goose_breeder.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\library.poultry_goose_breeder.v1.json"
"MISSING_TOKEN_IN_LIBRARY","prebreed","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\index.poultry_goose_breeder.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\library.poultry_goose_breeder.v1.json"
"MISSING_TOKEN_IN_LIBRARY","postpeak","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\index.poultry_goose_breeder.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\library.poultry_goose_breeder.v1.json"
"OK","starter","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\index.poultry_goose_breeder.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\library.poultry_goose_breeder.v1.json"
"OK","grower","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\index.poultry_goose_breeder.v1.json","C:\Users\Administrator\My Drive\NutriPilot\nutripilot-agrocore\core\db\requirements\poultry\goose\breeder\library.poultry_goose_breeder.v1.json"
